Date,High,Low,Open,Close,Gap,Positive,Negative
2019-12-17,56700.0,55400.0,55800.0,56700.0,1800.0,18.0,20.0
2019-12-18,57200.0,56000.0,56700.0,56300.0,500.0,28.0,30.0
2019-12-19,57300.0,55500.0,57000.0,56000.0,100.0,24.0,10.0
2019-12-20,56500.0,55600.0,56100.0,56000.0,-800.0,42.0,34.0
2019-12-23,56400.0,55100.0,56100.0,55500.0,-100.0,20.0,11.0
2019-12-24,55700.0,54800.0,55600.0,55000.0,-700.0,41.0,26.0
2019-12-26,55400.0,54400.0,54700.0,55400.0,-300.0,25.0,17.0
2019-12-27,56900.0,55500.0,55700.0,56500.0,1500.0,21.0,9.0
2019-12-30,56600.0,55700.0,56200.0,55800.0,-300.0,34.0,19.0
2020-01-02,56000.0,55000.0,55500.0,55200.0,-600.0,42.0,14.0
2020-01-03,56600.0,54900.0,56000.0,55500.0,600.0,28.0,30.0
2020-01-06,55600.0,54600.0,54900.0,55500.0,-1000.0,23.0,17.0
2020-01-07,56400.0,55600.0,55700.0,55800.0,800.0,28.0,26.0
2020-01-08,57400.0,55900.0,56200.0,56800.0,1000.0,31.0,21.0
2020-01-09,58600.0,57400.0,58400.0,58600.0,1200.0,29.0,36.0
2020-01-10,59700.0,58300.0,58800.0,59500.0,1100.0,35.0,35.0
2020-01-13,60000.0,59100.0,59600.0,60000.0,300.0,31.0,27.0
2020-01-14,61000.0,59900.0,60400.0,60000.0,1000.0,22.0,17.0
2020-01-15,59600.0,58900.0,59500.0,59000.0,-1400.0,19.0,9.0
2020-01-16,60700.0,59000.0,59100.0,60700.0,1100.0,11.0,11.0
2020-01-17,62000.0,61000.0,61900.0,61300.0,1300.0,25.0,6.0
2020-01-20,62800.0,61700.0,62000.0,62400.0,800.0,30.0,28.0
2020-01-21,62400.0,61200.0,62000.0,61400.0,-400.0,22.0,11.0
2020-01-22,62600.0,60400.0,60500.0,62300.0,200.0,18.0,30.0
2020-01-23,61800.0,60700.0,61800.0,60800.0,-800.0,26.0,21.0
2020-01-28,59400.0,58300.0,59400.0,58800.0,-2400.0,20.0,16.0
2020-01-29,59700.0,58800.0,59100.0,59100.0,300.0,23.0,26.0
2020-01-30,58800.0,56800.0,58800.0,57200.0,-900.0,37.0,28.0
2020-01-31,58400.0,56400.0,57800.0,56400.0,-400.0,28.0,13.0
2020-02-03,57400.0,55200.0,55500.0,57200.0,-1000.0,20.0,8.0
2020-02-04,59000.0,56800.0,57100.0,58900.0,1600.0,28.0,29.0
2020-02-05,60200.0,58900.0,60000.0,59500.0,1200.0,21.0,19.0
2020-02-06,61100.0,59700.0,60100.0,61100.0,900.0,22.0,11.0
2020-02-07,61200.0,59700.0,61100.0,60400.0,100.0,11.0,7.0
2020-02-10,59800.0,59100.0,59200.0,59700.0,-1400.0,29.0,18.0
2020-02-11,60700.0,59700.0,59800.0,59900.0,900.0,17.0,13.0
2020-02-12,60700.0,59700.0,60300.0,60500.0,0.0,26.0,19.0
2020-02-13,61600.0,60500.0,61200.0,60700.0,900.0,34.0,21.0
2020-02-14,61900.0,60200.0,60900.0,61800.0,300.0,22.0,17.0
2020-02-17,62000.0,61200.0,61600.0,61500.0,100.0,20.0,15.0
2020-02-18,60900.0,59700.0,60800.0,59800.0,-1100.0,41.0,34.0
2020-02-19,60400.0,59400.0,59800.0,60200.0,-500.0,15.0,8.0
2020-02-20,61300.0,59600.0,60700.0,60000.0,900.0,22.0,29.0
2020-02-21,59800.0,58500.0,58800.0,59200.0,-1500.0,30.0,14.0
2020-02-24,58100.0,56800.0,57400.0,56800.0,-1700.0,24.0,17.0
2020-02-25,58000.0,56200.0,56200.0,57900.0,-100.0,20.0,11.0
2020-02-26,57000.0,56000.0,56000.0,56500.0,-1000.0,31.0,11.0
2020-02-27,56900.0,55500.0,56300.0,55900.0,-100.0,21.0,14.0
