,name,code
617,NI스틸,008260.KS
618,SH에너지화학,002360.KS
619,SK증권,001510.KS
620,SK하이닉스,000660.KS
621,경인양행,012610.KS
622,경인전자,009140.KS
623,기신정기,092440.KS
624,나노메딕스,074610.KS
625,남영비비안,002070.KS
626,녹십자,006280.KS
627,대교,019680.KS
628,대동전자,008110.KS
629,대림비앤코,005750.KS
630,대양금속,009190.KS
631,대창,012800.KS
632,동국제강,001230.KS
633,두산솔루스,336370.KS
634,디아이동일,001530.KS
635,디아이씨,092200.KS
636,롯데관광개발,032350.KS
637,롯데케미칼,011170.KS
638,맵스리얼티1,094800.KS
639,무학,033920.KS
640,미래아이앤지,007120.KS
641,바다로19호,155900.KS
642,부산주공,005030.KS
643,비티원,101140.KS
644,사조씨푸드,014710.KS
645,삼성물산,028260.KS
646,삼성전자,005930.KS
647,삼성제약,001360.KS
648,삼양식품,003230.KS
649,삼원강재,023000.KS
650,삼익THK,004380.KS
651,삼일제약,000520.KS
652,삼진제약,005500.KS
653,삼화왕관,004450.KS
654,선창산업,002820.KS
655,성신양회,004980.KS
656,세기상사,002420.KS
657,세아특수강,019440.KS
658,세우글로벌,013000.KS
659,세원정공,021820.KS
660,세진중공업,075580.KS
661,셀트리온,068270.KS
662,신라교역,004970.KS
663,신성통상,005390.KS
664,신세계,004170.KS
665,신풍제약,019170.KS
666,아모레퍼시픽,090430.KS
667,아세아,002030.KS
668,아이에스동서,010780.KS
669,애경산업,018250.KS
670,에스제이엠,123700.KS
671,에이리츠,140910.KS
672,에이엔피,015260.KS
673,엔케이,085310.KS
674,엔피씨,004250.KS
675,영원무역홀딩스,009970.KS
676,우리들휴브레인,118000.KS
677,우신시스템,017370.KS
678,우진,105840.KS
679,우진플라임,049800.KS
680,웅진에너지,103130.KS
681,유니드,014830.KS
682,이건산업,008250.KS
683,이연제약,102460.KS
684,이월드,084680.KS
685,인스코비,006490.KS
686,조광페인트,004910.KS
687,조선내화,000480.KS
688,지누스,013890.KS
689,진에어,272450.KS
690,참엔지니어링,009310.KS
691,케이씨씨,002380.KS
692,케이씨씨글라스,344820.KS
693,코리아오토글라스,152330.KS
694,코오롱글로벌,003070.KS
695,쿠쿠홈시스,284740.KS
696,태경케미컬,006890.KS
697,토니모리,214420.KS
698,티탑스,030790.KS
699,페이퍼코리아,001020.KS
700,포스코,005490.KS
701,하나제약,293480.KS
702,한국화장품제조,003350.KS
703,한미글로벌,053690.KS
704,한솔피엔에스,010420.KS
705,한양증권,001750.KS
706,한진중공업,097230.KS
707,한진중공업홀딩스,003480.KS
708,한화,000880.KS
709,한화솔루션,009830.KS
710,현대에너지솔루션,322000.KS
711,현대제철,004020.KS
712,황금에스티,032560.KS
713,GBS,076170.KS
714,KB손해보험,002550.KS
715,KB증권,003450.KS
716,KNC,018590.KS
717,LGEI,002610.KS
718,LG파워콤,045820.KS
719,SBI모기지,950100.KS
720,SEI에셋,034770.KS
721,강원산업,000900.KS
722,거북선7호,134000.KS
723,건설산업,029000.KS
724,경남기업,000800.KS
725,경남은행,006610.KS
726,경향건설,002050.KS
727,고려석유화학,021170.KS
728,고려시멘트,003660.KS
729,광주고속,028800.KS
730,금경,015980.KS
731,금성전기,029260.KS
732,나이키스포츠,028630.KS
733,대우통신,005060.KS
734,대진해운,028920.KS
735,동방화공,004290.KS
736,동북아15호,084240.KS
737,동북아29호,089190.KS
738,동북아5호,080980.KS
739,동성,002470.KS
740,동신제약,006600.KS
741,동아정기,012760.KS
742,맥슨텔레콤,009890.KS
743,메리츠종금,012420.KS
744,미원,002440.KS
745,백산전자,028600.KS
746,보고산업,029130.KS
747,봉신,005350.KS
748,삼미광업개발,029190.KS
749,삼성건설,002010.KS
750,삼성디지털이미징,108070.KS
751,삼익건설,002180.KS
752,삼환기업,000360.KS
753,서광건설산업,001600.KS
754,성원건설,012090.KS
755,성화,004610.KS
756,세신,004230.KS
757,솔로몬저축은행,007800.KS
758,신성에프에이,104120.KS
759,신진자동차판매,028870.KS
760,신한금융투자,008670.KS
761,신한증권,003320.KS
762,쌍용종금,014490.KS
763,아세아페이퍼텍,009380.KS
764,아시아8호,081930.KS
765,알보젠코리아,002250.KS
766,영진테크,012470.KS
767,영창악기제조,001890.KS
768,외환신용카드,038400.KS
769,우창건설,029240.KS
770,율산실업,029980.KS
771,이코리아리츠,138440.KS
772,인성기연,028620.KS
773,인켈,006510.KS
774,인터피온반도체,014010.KS
775,일진,010510.KS
776,일화모직공업,001590.KS
777,진흥저축은행,007200.KS
778,케드콤,011050.KS
779,코리아07호,099210.KS
780,코원에너지서비스,026870.KS
781,코크렙8호,090540.KS
782,트윈스비전일,034840.KS
783,파브코,101990.KS
784,풍림산업,001310.KS
785,플러스1호,034990.KS
786,하나은행,004940.KS
787,한국유리공업,002000.KS
788,한국전기초자,009720.KS
789,한국종금,011260.KS
790,한라시멘트,012910.KS
791,훈영,017170.KS
792,휴리프,006210.KS
793,CJ씨푸드,011150.KS
794,DB금융투자,016610.KS
795,DGB금융지주,139130.KS
796,E1,017940.KS
797,HDC현대EP,089470.KS
798,KC코트렐,119650.KS
799,KEC,092220.KS
800,KISCO홀딩스,001940.KS
801,LG,003550.KS
802,LG디스플레이,034220.KS
803,LS전선아시아,229640.KS
804,NH프라임리츠,338100.KS
805,S&T중공업,003570.KS
806,S&T홀딩스,036530.KS
807,S-Oil,010950.KS
808,계룡건설산업,013580.KS
809,고려제강,002240.KS
810,노루페인트,090350.KS
811,대상,001680.KS
812,대성홀딩스,016710.KS
813,대우조선해양,042660.KS
814,대호에이엘,069460.KS
815,덴티움,145720.KS
816,동북아13호선박투자,083380.KS
817,동원F&B,049770.KS
818,동일고무벨트,163560.KS
819,두산밥캣,241560.KS
820,두산중공업,034020.KS
821,롯데제과,280360.KS
822,만호제강,001080.KS
823,모나미,005360.KS
824,문배철강,008420.KS
825,미창석유공업,003650.KS
